Visibility,Traits ID,Locality ID,Locality Name,Locality Description,Continent,Contributor,Latitude,Longitude,Elevation,Location Source,Lat Lng Km2,Political Region1,Political Region2,Political Region3,Total Ant Abundance,Total Ant Species Richness,Total Native Species Richness,Total Non Native Species Richness,Number Of Sampling Events,Start Date Day,Start Date Month,Start Date Year,End Date Day,End Date Month,End Date Year,Total Number Of Transects,Length,Width,Plot Transect Separation,Method,Method Description,Pitfall Number,Pitfall Surface Area,Pitfall Spacing,Pitfall Duration,Baits Number,Bait Stations Number,Baits Spacing,Baits Duration,Winkler Number,Winkler Spacing,Berlese Number,Berlese Spacing,Total Litter Sample Volume,Total Litter Sample Area,Habitat Type,Disturbance,Disturbance Type1,Disturbance Type2,Habitat Description,Notes,Genus,Species,Invasive To Political Region1,Morphospecies,Caste,N,Hind femur length (mm),Whole body length (mm),Diet,username,Date Of Upload,Batch,Batch Name
Public,Gibb_2011_traits_11,NA,NA,NA,NA,NA,64.2646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Formica,aquilonia,Native*,FALSE,Worker,1,0.944,3.6,NA,bgrossman,2/22/2017,NA,Traits_1_February 2017
Public,Gibb_2011_traits_12,NA,NA,NA,NA,NA,64.2646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Formica,aquilonia,Native*,FALSE,Worker,1,0.96,3.4,NA,bgrossman,2/22/2017,NA,Traits_1_February 2017
Public,Gibb_2011_traits_13,NA,NA,NA,NA,NA,64.2646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Formica,aquilonia,Native*,FALSE,Worker,1,0.96,3.88,NA,bgrossman,2/22/2017,NA,Traits_1_February 2017
Public,Gibb_2011_traits_14,NA,NA,NA,NA,NA,64.2646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Formica,aquilonia,Native*,FALSE,Worker,1,0.896,3.2,NA,bgrossman,2/22/2017,NA,Traits_1_February 2017
Public,Gibb_2011_traits_15,NA,NA,NA,NA,NA,64.2646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Formica,aquilonia,Native*,FALSE,Worker,1,0.96,3.56,NA,bgrossman,2/22/2017,NA,Traits_1_February 2017
Public,Gibb_2011_traits_16,NA,NA,NA,NA,NA,64.2646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Formica,aquilonia,Native*,FALSE,Worker,1,1.04,3.96,NA,bgrossman,2/22/2017,NA,Traits_1_February 2017
Public,Gibb_2011_traits_17,NA,NA,NA,NA,NA,64.2646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Formica,aquilonia,Native*,FALSE,Worker,1,0.864,3.32,NA,bgrossman,2/22/2017,NA,Traits_1_February 2017
Public,Gibb_2011_traits_18,NA,NA,NA,NA,NA,64.2646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Formica,aquilonia,Native*,FALSE,Worker,1,1.008,3.76,NA,bgrossman,2/22/2017,NA,Traits_1_February 2017
Public,Gibb_2011_traits_19,NA,NA,NA,NA,NA,64.2646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Formica,aquilonia,Native*,FALSE,Worker,1,0.96,3.84,NA,bgrossman,2/22/2017,NA,Traits_1_February 2017
Public,Gibb_2011_traits_20,NA,NA,NA,NA,NA,64.2646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Formica,aquilonia,Native*,FALSE,Worker,1,0.976,3.68,NA,bgrossman,2/22/2017,NA,Traits_1_February 2017
Public,Gibb_2011_traits_21,NA,NA,NA,NA,NA,64.2646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Formica,aquilonia,Native*,FALSE,Worker,1,0.912,3.2,NA,bgrossman,2/22/2017,NA,Traits_1_February 2017
Public,Gibb_2011_traits_22,NA,NA,NA,NA,NA,64.2646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Formica,aquilonia,Native*,FALSE,Worker,1,0.96,3.52,NA,bgrossman,2/22/2017,NA,Traits_1_February 2017
Public,Gibb_2011_traits_23,NA,NA,NA,NA,NA,64.2646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Formica,aquilonia,Native*,FALSE,Worker,1,0.96,3.6,NA,bgrossman,2/22/2017,NA,Traits_1_February 2017
Public,Gibb_2011_traits_24,NA,NA,NA,NA,NA,64.2646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Formica,aquilonia,Native*,FALSE,Worker,1,1.024,3.44,NA,bgrossman,2/22/2017,NA,Traits_1_February 2017
Public,Gibb_2011_traits_25,NA,NA,NA,NA,NA,64.2646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Formica,aquilonia,Native*,FALSE,Worker,1,0.976,3.44,NA,bgrossman,2/22/2017,NA,Traits_1_February 2017
Public,Gibb_2011_traits_26,NA,NA,NA,NA,NA,64.2646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Formica,aquilonia,Native*,FALSE,Worker,1,0.944,3.28,NA,bgrossman,2/22/2017,NA,Traits_1_February 2017
Public,Gibb_2011_traits_27,NA,NA,NA,NA,NA,64.2646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Formica,aquilonia,Native*,FALSE,Worker,1,1.04,3.76,NA,bgrossman,2/22/2017,NA,Traits_1_February 2017
Public,Gibb_2011_traits_28,NA,NA,NA,NA,NA,64.2646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Formica,aquilonia,Native*,FALSE,Worker,1,0.976,3.68,NA,bgrossman,2/22/2017,NA,Traits_1_February 2017
Public,Gibb_2011_traits_29,NA,NA,NA,NA,NA,64.2646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Formica,aquilonia,Native*,FALSE,Worker,1,0.96,3.24,NA,bgrossman,2/22/2017,NA,Traits_1_February 2017
Public,Gibb_2011_traits_30,NA,NA,NA,NA,NA,64.1479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Camponotus,herculeanus,Unknown,FALSE,Worker,1,1.911111111,16.83,NA,bgrossman,2/22/2017,NA,Traits_1_February 2017
Public,Gibb_2011_traits_31,NA,NA,NA,NA,NA,64.1479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Camponotus,herculeanus,Unknown,FALSE,Worker,1,2.222222222,13.81,NA,bgrossman,2/22/2017,NA,Traits_1_February 2017
Public,Gibb_2011_traits_32,NA,NA,NA,NA,NA,64.1479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Camponotus,herculeanus,Unknown,FALSE,Worker,1,2.177777778,15.71,NA,bgrossman,2/22/2017,NA,Traits_1_February 2017
Public,Gibb_2011_traits_33,NA,NA,NA,NA,NA,64.1479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Camponotus,herculeanus,Unknown,FALSE,Worker,1,2,12.7,NA,bgrossman,2/22/2017,NA,Traits_1_February 2017
Public,Gibb_2011_traits_34,NA,NA,NA,NA,NA,64.1479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Camponotus,herculeanus,Unknown,FALSE,Worker,1,2.088888889,13.49,NA,bgrossman,2/22/2017,NA,Traits_1_February 2017
Public,Gibb_2011_traits_35,NA,NA,NA,NA,NA,64.1479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Camponotus,herculeanus,Unknown,FALSE,Worker,1,2.133333333,16.83,NA,bgrossman,2/22/2017,NA,Traits_1_February 2017
Public,Gibb_2011_traits_36,NA,NA,NA,NA,NA,64.1479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Camponotus,herculeanus,Unknown,FALSE,Worker,1,2.311111111,15.4,NA,bgrossman,2/22/2017,NA,Traits_1_February 2017
Public,Gibb_2011_traits_37,NA,NA,NA,NA,NA,64.1604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Camponotus,herculeanus,Unknown,FALSE,Worker,1,2.488888889,14.13,NA,bgrossman,2/22/2017,NA,Traits_1_February 2017
Public,Gibb_2011_traits_38,NA,NA,NA,NA,NA,64.1604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Camponotus,herculeanus,Unknown,FALSE,Worker,1,2.044444444,13.65,NA,bgrossman,2/22/2017,NA,Traits_1_February 2017
Public,Gibb_2011_traits_39,NA,NA,NA,NA,NA,64.1729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Camponotus,herculeanus,Unknown,FALSE,Worker,1,2.044444444,13.17,NA,bgrossman,2/22/2017,NA,Traits_1_February 2017
Public,Gibb_2011_traits_40,NA,NA,NA,NA,NA,64.1729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Camponotus,herculeanus,Unknown,FALSE,Worker,1,1.911111111,12.38,NA,bgrossman,2/22/2017,NA,Traits_1_February 2017
Public,Gibb_2011_traits_41,NA,NA,NA,NA,NA,64.2771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Camponotus,herculeanus,Unknown,FALSE,Worker,1,1.822222222,12.22,NA,bgrossman,2/22/2017,NA,Traits_1_February 2017
Public,Gibb_2011_traits_42,NA,NA,NA,NA,NA,64.2771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Camponotus,herculeanus,Unknown,FALSE,Worker,1,2.222222222,15.08,NA,bgrossman,2/22/2017,NA,Traits_1_February 2017
Public,Gibb_2011_traits_43,NA,NA,NA,NA,NA,64.2771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Camponotus,herculeanus,Unknown,FALSE,Worker,1,2.044444444,11.27,NA,bgrossman,2/22/2017,NA,Traits_1_February 2017
Public,Gibb_2011_traits_44,NA,NA,NA,NA,NA,64.2771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Camponotus,herculeanus,Unknown,FALSE,Worker,1,2.177777778,12.38,NA,bgrossman,2/22/2017,NA,Traits_1_February 2017
Public,Gibb_2011_traits_45,NA,NA,NA,NA,NA,64.2771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Camponotus,herculeanus,Unknown,FALSE,Worker,1,2.222222222,13.49,NA,bgrossman,2/22/2017,NA,Traits_1_February 2017
Public,Gibb_2011_traits_46,NA,NA,NA,NA,NA,64.2771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Camponotus,herculeanus,Unknown,FALSE,Worker,1,2.311111111,14.6,NA,bgrossman,2/22/2017,NA,Traits_1_February 2017
Public,Gibb_2011_traits_47,NA,NA,NA,NA,NA,64.2771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Camponotus,herculeanus,Unknown,FALSE,Worker,1,2.266666667,14.29,NA,bgrossman,2/22/2017,NA,Traits_1_February 2017
Public,Gibb_2011_traits_48,NA,NA,NA,NA,NA,64.2771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Camponotus,herculeanus,Unknown,FALSE,Worker,1,2,12.06,NA,bgrossman,2/22/2017,NA,Traits_1_February 2017
Public,Gibb_2011_traits_49,NA,NA,NA,NA,NA,64.2771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Camponotus,herculeanus,Unknown,FALSE,Worker,1,2.4,15.71,NA,bgrossman,2/22/2017,NA,Traits_1_February 2017
Public,Gibb_2011_traits_50,NA,NA,NA,NA,NA,64.2771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Camponotus,herculeanus,Unknown,FALSE,Worker,1,1.955555556,11.9,NA,bgrossman,2/22/2017,NA,Traits_1_February 2017
Public,Gibb_2011_traits_51,NA,NA,NA,NA,NA,64.2854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Camponotus,herculeanus,Unknown,FALSE,Worker,1,1.866666667,12.22,NA,bgrossman,2/22/2017,NA,Traits_1_February 2017
Public,Gibb_2011_traits_52,NA,NA,NA,NA,NA,64.1729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Formica,lemani,Native*,FALSE,Worker,1,0.672,2.15,NA,bgrossman,2/22/2017,NA,Traits_1_February 2017
Public,Gibb_2011_traits_53,NA,NA,NA,NA,NA,64.2563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Formica,lemani,Native*,FALSE,Worker,1,0.656,2.33,NA,bgrossman,2/22/2017,NA,Traits_1_February 2017
Public,Gibb_2011_traits_54,NA,NA,NA,NA,NA,64.2563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Formica,lemani,Native*,FALSE,Worker,1,0.752,2.33,NA,bgrossman,2/22/2017,NA,Traits_1_February 2017
Public,Gibb_2011_traits_55,NA,NA,NA,NA,NA,64.2813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Formica,lemani,Native*,FALSE,Worker,1,0.672,2.63,NA,bgrossman,2/22/2017,NA,Traits_1_February 2017
